"lb_nom_abg","cd_poul","GS1","GS2","id","nom","prenom","numero_licence","ordre","libelle","distance_km","indemnite","couple","lb_catc","presence"
"DMU11-2-P2","D2E","PDL0049023 - CLUB 23 - 2","PDL0049064 - CLUB 64 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DMU17-2","D2E","PDL0049023 - CLUB 23 - 4","PDL0049024 - CLUB 24 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U17",""
"DFVE-2","B","PDL0049024 - CLUB 24 - ","PDL0049097 - CLUB 97 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","Vétérans",""
"DMU11-P2","D1B","PDL0049024 - CLUB 24 - 1","PDL0049067 - CLUB 67 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DMU13-4-P2","D4E","PDL0049024 - CLUB 24 - 2","PDL0049011 - CLUB 11 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U13",""
"DMU9","D1B","PDL0049024 - CLUB 24 - 2","PDL0049050 - CLUB 50 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"PRM","PRM A","PDL0049024 - CLUB 24 - 2","PDL0049069 - CLUB 69 - 1","ID 343","NOM 280","Prénom 253","LIC 343",1,"Arbitre","(42,00Km)","61.92","NON","Seniors","P"
"PRM","PRM A","PDL0049024 - CLUB 24 - 2","PDL0049069 - CLUB 69 - 1","ID 123","NOM 114","Prénom 107","LIC 123",2,"Arbitre","(63,00Km)","77.88","NON","Seniors","P"
"PRM","PRM A","PDL0049024 - CLUB 24 - 2","PDL0049069 - CLUB 69 - 1","ID 41","NOM 40","Prénom 39","LIC 41",3,"Arbitre","(28,00Km)","51.28","NON","Seniors","A"
"DMU9-3-P2-P2","D3E","PDL0049024 - CLUB 24 - 5","PDL0049052 - CLUB 52 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"DFU9-3-P2-P2","D3E","PDL0049074 - CLUB 74 - ","PDL0049098 - CLUB 98 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"PRF","PRF A","PDL0049026 - CLUB 26 - ","PDL0049009 - CLUB 9 - ","ID 30","NOM 29","Prénom 29","LIC 30",2,"Arbitre","(66,00Km)","80.16","NON","Seniors","P"
"PRF","PRF A","PDL0049026 - CLUB 26 - ","PDL0049009 - CLUB 9 - ","ID 133","NOM 124","Prénom 116","LIC 133",1,"Arbitre","(37,00Km)","58.12","NON","Seniors","P"
"DMU20-P2","D1D","PDL0049026 - CLUB 26 - ","PDL0049078 - CLUB 78 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U20",""
"DFU18-3","D3A","PDL0049027 - CLUB 27 - ","PDL0049021 - CLUB 21 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U18",""
"DMU9-2-P2","D2E","PDL0049027 - CLUB 27 - 1","PDL0049008 - CLUB 8 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"DFU15-3-P2","D3A","PDL0049028 - CLUB 28 - ","PDL0049006 - CLUB 6 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U15",""
"DFU15-2","D2B","PDL0049028 - CLUB 28 - ","PDL0049067 - CLUB 67 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U15",""
"DMU17-2-P2","D2A","PDL0049029 - CLUB 29 - ","PDL0049009 - CLUB 9 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U17",""
"1/16CHALU15M","A","PDL0049029 - CLUB 29 - ","PDL0049095 - CLUB 95 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U15",""
"DMU15-2","D2A","PDL0049029 - CLUB 29 - ","PDL0049027 - CLUB 27 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U15",""
"DFU11-2","D2A","PDL0049029 - CLUB 29 - ","PDL0049036 - CLUB 36 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DFU15-P2-P2","D1B","PDL0049030 - CLUB 30 - 1","PDL0049002 - CLUB 2 - 3","ID 1122","NOM 796","Prénom 532","LIC 1122",1,"Arbitre","","","NON","U15","P"
"DFU15-P2-P2","D1B","PDL0049030 - CLUB 30 - 1","PDL0049002 - CLUB 2 - 3","ID 126","NOM 117","Prénom 110","LIC 126",1,"Arbitre","","","NON","U15","P"
"DFU13-P2-P2","ELITE","PDL0049030 - CLUB 30 - 1","PDL0049036 - CLUB 36 - 1","ID 527","NOM 416","Prénom 35","LIC 527",2,"Arbitre","(2,00Km)","25.52","NON","U13","P"
"DFU13-P2-P2","ELITE","PDL0049030 - CLUB 30 - 1","PDL0049036 - CLUB 36 - 1","ID 708","NOM 540","Prénom 202","LIC 708",1,"Arbitre","(27,00Km)","44.52","NON","U13","P"
"DFU13-P2-P2","ELITE","PDL0049030 - CLUB 30 - 1","PDL0049036 - CLUB 36 - 1","ID 119","NOM 87","Prénom 104","LIC 119",3,"Arbitre","(20,00Km)","39.2","NON","U13","A"
"DMU15","D1A","PDL0049030 - CLUB 30 - 3","PDL0049061 - CLUB 61 - 1","ID 1123","NOM 797","Prénom 170","LIC 1123",2,"Arbitre","","","NON","U15","P"
"DFU18-P2-P2","D1B","PDL0049034 - CLUB 34 - 1","PDL0049030 - CLUB 30 - ","ID 1017","NOM 741","Prénom 294","LIC 1017",2,"Arbitre","","","NON","U18","P"
"DMU15-P2","D1B","PDL0049035 - CLUB 35 - 1","PDL0049041 - CLUB 41 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U15",""
"DMU11-3-P2-P2","D3E","PDL0049036 - CLUB 36 - ","PDL0049006 - CLUB 6 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DFU11-2-P2-P2","D2A","PDL0049036 - CLUB 36 - 2","PDL0049050 - CLUB 50 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"16CHAM","A","PDL0049036 - CLUB 36 - 3","PDL0049074 - CLUB 74 - 1","ID 137","NOM 127","Prénom 118","LIC 137",1,"Arbitre","","","NON","Seniors","P"
"DF3-P2","DF3BA","PDL0049038 - CLUB 38 - ","PDL0049086 - CLUB 86 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","Seniors",""
"DM5-P2","DM5BE","PDL0049038 - CLUB 38 - 3","PDL0049070 - CLUB 70 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","Seniors",""
"DMU13-2","D2E","PDL0049039 - CLUB 39 - 1","PDL0049006 - CLUB 6 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U13",""
"DFU11-P2","D1A","PDL0049039 - CLUB 39 - 1","PDL0049036 - CLUB 36 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DMU17-P2-P2","ELITE","PDL0049039 - CLUB 39 - 1","PDL0049036 - CLUB 36 - 1","ID 436","NOM 352","Prénom 30","LIC 436",1,"Arbitre","(45,00Km)","58.2","NON","U17","P"
"DMU17-P2-P2","ELITE","PDL0049039 - CLUB 39 - 1","PDL0049036 - CLUB 36 - 1","ID 1124","NOM 798","Prénom 174","LIC 1124",1,"Marqueur","","","NON","U17","P"
"DMU17-P2-P2","ELITE","PDL0049039 - CLUB 39 - 1","PDL0049036 - CLUB 36 - 1","ID 710","NOM 542","Prénom 7","LIC 710",1,"Chronometreur","","","NON","U17","P"
"DMU17-P2-P2","ELITE","PDL0049039 - CLUB 39 - 1","PDL0049036 - CLUB 36 - 1","ID 763","NOM 283","Prénom 321","LIC 763",2,"Arbitre","(15,00Km)","35.4","NON","U17","P"
"DF2","DF 2B","PDL0049039 - CLUB 39 - 3","PDL0049056 - CLUB 56 - 2","ID 491","NOM 132","Prénom 319","LIC 491",1,"Chronometreur","","","NON","Seniors","P"
"DFU9-3","D3H","PDL0049076 - CLUB 76 - ","PDL0049046 - CLUB 46 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"DFU13-P2","D1B","PDL0049041 - CLUB 41 - 1","PDL0049007 - CLUB 7 - 1","ID 836","NOM 630","Prénom 228","LIC 836",1,"Arbitre","","","NON","U13","P"
"DFU13-P2","D1B","PDL0049041 - CLUB 41 - 1","PDL0049007 - CLUB 7 - 1","ID 715","NOM 135","Prénom 410","LIC 715",1,"Marqueur","","","NON","U13","P"
"DMU9-4","D4H","PDL0049041 - CLUB 41 - 2","PDL0049059 - CLUB 59 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"DMU11-2-P2-P2","D2E","PDL0049043 - CLUB 43 - 1","PDL0049024 - CLUB 24 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DMU9-3","D3H","PDL0049043 - CLUB 43 - 1","PDL0049064 - CLUB 64 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"DFU11-4","D4H","PDL0049044 - CLUB 44 - 2","PDL0049052 - CLUB 52 - 3","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DMU20","D1A","PDL0049045 - CLUB 45 - 1","PDL0049003 - CLUB 3 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U20",""
"DF3","DF 3A","PDL0049045 - CLUB 45 - 1","PDL0049027 - CLUB 27 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","Seniors",""
"DM3-P2","DM3HB","PDL0049045 - CLUB 45 - 1","PDL0049044 - CLUB 44 - 1","ID 357","NOM 289","Prénom 259","LIC 357",1,"Arbitre","","","NON","Seniors","P"
"DMU20-P2-P2","ELITE","PDL0049046 - CLUB 46 - ","PDL0049017 - CLUB 17 - 1","ID 91","NOM 88","Prénom 58","LIC 91",1,"Arbitre","","","NON","U20","P"
"DFU13-2","D2B","PDL0049047 - CLUB 47 - ","PDL0049028 - CLUB 28 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U13",""
"DMU15-3-P2","D3E","PDL0049047 - CLUB 47 - ","PDL0049038 - CLUB 38 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U15",""
"DFU11-3-P2","D3E","PDL0049047 - CLUB 47 - 1","PDL0049039 - CLUB 39 - 3","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DFU9-4","D4A","PDL0049048 - CLUB 48 - 2","PDL0049019 - CLUB 19 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"DFU18-2","D2B","PDL0049050 - CLUB 50 - 1","PDL0049039 - CLUB 39 - 4","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U18",""
"DMU11-4","D4H","PDL0049050 - CLUB 50 - 2","PDL0049011 - CLUB 11 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DM5","DM 5E","PDL0049050 - CLUB 50 - 3","PDL0049038 - CLUB 38 - 3","ID 783","NOM 87","Prénom 179","LIC 783",1,"Officiel de Table de Marque","","","NON","Seniors","P"
"DMU9-4-P2-P2","D4E","PDL0049077 - CLUB 77 - 2","PDL0049035 - CLUB 35 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"DF4-P2","DF4HB","PDL0049078 - CLUB 78 - ","PDL0049001 - CLUB 1 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","Seniors",""
"DFU15-3","D3E","PDL0049084 - CLUB 84 - 2","PDL0049061 - CLUB 61 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U15",""
"DMU9-3-P2","D3E","PDL0049084 - CLUB 84 - 2","PDL0049063 - CLUB 63 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"DFU9-2-P2-P2","D2E","PDL0049079 - CLUB 79 - 1","PDL0049044 - CLUB 44 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"DFU9-2-P2","D2E","PDL0049079 - CLUB 79 - 2","PDL0049061 - CLUB 61 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"DMU17-P2","D1D","PDL0049053 - CLUB 53 - 1","PDL0049011 - CLUB 11 - ","ID 1125","NOM 617","Prénom 110","LIC 1125",2,"Arbitre","","","NON","U17","P"
"DMU17-P2","D1D","PDL0049053 - CLUB 53 - 1","PDL0049011 - CLUB 11 - ","ID 1126","NOM 693","Prénom 151","LIC 1126",1,"Arbitre","","","NON","U17","P"
"DM4","DM 4E","PDL0049053 - CLUB 53 - 1","PDL0049034 - CLUB 34 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","Seniors",""
"DMU17-3","D3E","PDL0049053 - CLUB 53 - 2","PDL0049054 - CLUB 54 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U17",""
"16CHAF","A","PDL0049096 - CLUB 96 - 2","PDL0049019 - CLUB 19 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","Seniors",""
"DM3","DM 3E","PDL0049096 - CLUB 96 - 3","PDL0049038 - CLUB 38 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","Seniors",""
"DFU11-2-P2","D2F","PDL0049054 - CLUB 54 - ","PDL0049061 - CLUB 61 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DFU13-3","D3E","PDL0049054 - CLUB 54 - ","PDL0049061 - CLUB 61 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U13",""
"DFU9-2","D2H","PDL0049054 - CLUB 54 - 1","PDL0049079 - CLUB 79 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"DMU13-P2-P2","ELITE","PDL0049056 - CLUB 56 - ","PDL0049054 - CLUB 54 - 1","ID 404","NOM 324","Prénom 202","LIC 404",1,"Arbitre","(11,00Km)","32.36","NON","U13","P"
"DMU13-P2-P2","ELITE","PDL0049056 - CLUB 56 - ","PDL0049054 - CLUB 54 - 1","ID 237","NOM 203","Prénom 190","LIC 237",2,"Arbitre","(20,00Km)","39.2","NON","U13","P"
"32CHAF","A","PDL0049056 - CLUB 56 - 3","PDL0049068 - CLUB 68 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","Seniors",""
"DMU17-3-P2","D3A","PDL0049058 - CLUB 58 - ","PDL0049003 - CLUB 3 - ","ID 381","NOM 311","Prénom 271","LIC 381",1,"Chronometreur","","","NON","U17","P"
"DMU17-3-P2","D3A","PDL0049058 - CLUB 58 - ","PDL0049003 - CLUB 3 - ","ID 1127","NOM 649","Prénom 533","LIC 1127",1,"Marqueur","","","NON","U17","P"
"DMU17-4","D4A","PDL0049059 - CLUB 59 - ","PDL0049076 - CLUB 76 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U17",""
"DMU15-2-P2","D2A","PDL0049059 - CLUB 59 - 1","PDL0049028 - CLUB 28 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U15",""
"DF2-P2","DF2BB","PDL0049060 - CLUB 60 - ","PDL0049061 - CLUB 61 - 2","ID 389","NOM 316","Prénom 276","LIC 389",1,"Arbitre","","","NON","Seniors","P"
"DFU18-P2","D1B","PDL0049060 - CLUB 60 - ","PDL0049068 - CLUB 68 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U18",""
"DFU13","D1A","PDL0049061 - CLUB 61 - ","PDL0049030 - CLUB 30 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U13",""
"DMU13-2-P2","D2E","PDL0049061 - CLUB 61 - 1","PDL0049023 - CLUB 23 - 3","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U13",""
"DFU9-3-P2","D3E","PDL0049063 - CLUB 63 - ","PDL0049053 - CLUB 53 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"DMU9-2-P2-P2","D2A","PDL0049063 - CLUB 63 - ","PDL0049064 - CLUB 64 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"DMU15-4-P2","D4E","PDL0049064 - CLUB 64 - ","PDL0049069 - CLUB 69 - 2","ID 936","NOM 329","Prénom 129","LIC 936",1,"Arbitre","","","NON","U15","P"
"DM2-P2","DM2BA","PDL0049064 - CLUB 64 - 2","PDL0049001 - CLUB 1 - 2","ID 412","NOM 331","Prénom 290","LIC 412",1,"Arbitre","","","NON","Seniors","P"
"DFU13-3-P2","D3E","PDL0049064 - CLUB 64 - 2","PDL0049026 - CLUB 26 - ","ID 412","NOM 331","Prénom 290","LIC 412",2,"Arbitre","","","NON","U13","P"
"DFU11-4-P2","D4E","PDL0049064 - CLUB 64 - 4","PDL0049043 - CLUB 43 - 3","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DMU11-2","D2A","PDL0049065 - CLUB 65 - ","PDL0049027 - CLUB 27 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DMU13","D1A","PDL0049065 - CLUB 65 - 1","PDL0049066 - CLUB 66 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U13",""
"DMU11-4-P2-P2","D4E","PDL0049094 - CLUB 94 - ","PDL0049043 - CLUB 43 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DMU15-P2-P2","ELITE","PDL0049066 - CLUB 66 - 2","PDL0049041 - CLUB 41 - 1","ID 488","NOM 1","Prénom 317","LIC 488",1,"Arbitre","(10,00Km)","31.6","NON","U15","P"
"DMU15-P2-P2","ELITE","PDL0049066 - CLUB 66 - 2","PDL0049041 - CLUB 41 - 1","ID 101","NOM 95","Prénom 51","LIC 101",2,"Arbitre","(20,00Km)","39.2","NON","U15","P"
"DMU13-4","D4E","PDL0049067 - CLUB 67 - 2","PDL0049022 - CLUB 22 - 3","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U13",""
"DFU13-4","D4E","PDL0049085 - CLUB 85 - ","PDL0049078 - CLUB 78 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U13",""
"DF4","DF 4E","PDL0049069 - CLUB 69 - 2","PDL0049043 - CLUB 43 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","Seniors",""
"32CHAM","A","PDL0049069 - CLUB 69 - 3","PDL0049088 - CLUB 88 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","Seniors",""
"DFU18-2-P2","D2C","PDL0049001 - CLUB 1 - 2","PDL0049024 - CLUB 24 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U18",""
"PRM","PRM B","PDL0049003 - CLUB 3 - 2","PDL0049032 - CLUB 32 - 2","ID 14","NOM 14","Prénom 14","LIC 14",1,"Chronometreur","","","NON","Seniors","P"
"PRM","PRM B","PDL0049003 - CLUB 3 - 2","PDL0049032 - CLUB 32 - 2","ID 14","NOM 14","Prénom 14","LIC 14",1,"Officiel de Table de Marque","","","NON","Seniors","P"
"PRM","PRM B","PDL0049003 - CLUB 3 - 2","PDL0049032 - CLUB 32 - 2","ID 1128","NOM 449","Prénom 399","LIC 1128",1,"Officiel de Table de Marque","","","NON","Seniors","A"
"PRM","PRM B","PDL0049003 - CLUB 3 - 2","PDL0049032 - CLUB 32 - 2","ID 60","NOM 59","Prénom 58","LIC 60",1,"Arbitre","(10,00Km)","37.6","NON","Seniors","P"
"PRM","PRM B","PDL0049003 - CLUB 3 - 2","PDL0049032 - CLUB 32 - 2","ID 139","NOM 129","Prénom 120","LIC 139",2,"Arbitre","(16,00Km)","42.16","NON","Seniors","P"
"DFU18-4-P2","D4B","PDL0049083 - CLUB 83 - ","PDL0049027 - CLUB 27 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U18",""
"DFU11-2","D2A","PDL0049006 - CLUB 6 - ","PDL0049019 - CLUB 19 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DFU9-2","D2H","PDL0049007 - CLUB 7 - 1","PDL0049038 - CLUB 38 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"DFU9-3-P2","D3F","PDL0049007 - CLUB 7 - 1","PDL0049049 - CLUB 49 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"DMU11-P3","D1B","PDL0049008 - CLUB 8 - 1","PDL0049041 - CLUB 41 - 1","ID 1129","NOM 799","Prénom 527","LIC 1129",1,"Arbitre","","","NON","U11","P"
"DFU9-4-P2","D4A","PDL0049008 - CLUB 8 - 2","PDL0049016 - CLUB 16 - ","ID 278","NOM 234","Prénom 217","LIC 278",1,"Arbitre","","","NON","U9","P"
"DFU9-4-P2","D4A","PDL0049008 - CLUB 8 - 2","PDL0049016 - CLUB 16 - ","ID 940","NOM 235","Prénom 249","LIC 940",1,"Arbitre","","","NON","U9","P"
"DMU20-P2-P2","ELITE","PDL0049010 - CLUB 10 - ","PDL0049023 - CLUB 23 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U20",""
"DMU20-P2","D1D","PDL0049010 - CLUB 10 - ","PDL0049061 - CLUB 61 - ","ID 453","NOM 364","Prénom 162","LIC 453",1,"Arbitre","","","NON","U20","P"
"DMU9-4-P2-P2","D4F","PDL0049010 - CLUB 10 - 2","PDL0049028 - CLUB 28 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"DM3","DM 3A","PDL0049010 - CLUB 10 - 2","PDL0049042 - CLUB 42 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","Seniors",""
"DMU13-2-P2","D2F","PDL0049011 - CLUB 11 - 1","PDL0049039 - CLUB 39 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U13",""
"DMU9-3-P2-P2","D3F","PDL0049011 - CLUB 11 - 1","PDL0049050 - CLUB 50 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"DMU15-3","D3F","PDL0049011 - CLUB 11 - 1","PDL0049054 - CLUB 54 - 2","ID 1130","NOM 800","Prénom 315","LIC 1130",1,"Arbitre","","","NON","U15","P"
"DF2","DF 2C","PDL0049011 - CLUB 11 - 2","PDL0049084 - CLUB 84 - 1","ID 556","NOM 5","Prénom 347","LIC 556",1,"Marqueur","","","NON","Seniors","P"
"DFU13-3","D3F","PDL0049012 - CLUB 12 - ","PDL0049034 - CLUB 34 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U13",""
"DMU17-4","D4B","PDL0049012 - CLUB 12 - ","PDL0049038 - CLUB 38 - 3","ID 1131","NOM 37","Prénom 172","LIC 1131",1,"Marqueur","","","NON","U17","P"
"DF4","DF 4F","PDL0049013 - CLUB 13 - ","PDL0049044 - CLUB 44 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","Seniors",""
"DFU15-P2-P2","D1B","PDL0049013 - CLUB 13 - ","PDL0049057 - CLUB 57 - ","ID ","NOM 9","Prénom 9","LIC 9",1,"Arbitre","","","NON","U15","P"
"DFU15-P2-P2","D1B","PDL0049013 - CLUB 13 - ","PDL0049057 - CLUB 57 - ","ID ","NOM 9","Prénom 9","LIC 9",2,"Arbitre","","","NON","U15","P"
"DM2-P2","DM2BB","PDL0049013 - CLUB 13 - 1","PDL0049066 - CLUB 66 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","Seniors",""
"DMU11-4","D4H","PDL0049013 - CLUB 13 - 2","PDL0049090 - CLUB 90 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DFU18-3-P2","D3B","PDL0049014 - CLUB 14 - ","PDL0049039 - CLUB 39 - 4","ID 1132","NOM 801","Prénom 49","LIC 1132",2,"Arbitre","","","NON","U18","P"
"DMU13-P2","D1B","PDL0049015 - CLUB 15 - 1","PDL0049007 - CLUB 7 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U13",""
"DMU15-2","D2B","PDL0049015 - CLUB 15 - 2","PDL0049035 - CLUB 35 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U15",""
"DM4","DM 4A","PDL0049020 - CLUB 20 - ","PDL0049036 - CLUB 36 - 3","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","Seniors",""
"DMU17-2","D2A","PDL0049020 - CLUB 20 - ","PDL0049056 - CLUB 56 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U17",""
"DMU11-2-P2","D2A","PDL0049020 - CLUB 20 - 1","PDL0049051 - CLUB 51 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DMU13-P2-P2","ELITE","PDL0049022 - CLUB 22 - 1","PDL0049030 - CLUB 30 - 2","ID 1023","NOM 81","Prénom 149","LIC 1023",2,"Arbitre","(37,00Km)","52.12","NON","U13","A"
"DMU13-P2-P2","ELITE","PDL0049022 - CLUB 22 - 1","PDL0049030 - CLUB 30 - 2","ID 105","NOM 99","Prénom 94","LIC 105",1,"Aide marqueur","","","NON","U13","P"
"DMU13-P2-P2","ELITE","PDL0049022 - CLUB 22 - 1","PDL0049030 - CLUB 30 - 2","ID 889","NOM 183","Prénom 116","LIC 889",1,"Arbitre","(13,00Km)","33.88","NON","U13","A"
"DMU13-P2-P2","ELITE","PDL0049022 - CLUB 22 - 1","PDL0049030 - CLUB 30 - 2","ID 1133","NOM 124","Prénom 144","LIC 1133",1,"Chronometreur","","","NON","U13","P"
"DFU11-2-P2","D2E","PDL0049022 - CLUB 22 - 2","PDL0049052 - CLUB 52 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DMU9-4-P2","D4F","PDL0049022 - CLUB 22 - 2","PDL0049079 - CLUB 79 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U9",""
"DF3-P2","DF3BB","PDL0049022 - CLUB 22 - 2","PDL0049062 - CLUB 62 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","Seniors",""
"DFU11","D1B","PDL0049023 - CLUB 23 - 1","PDL0049007 - CLUB 7 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DMU15-P2","D1B","PDL0049023 - CLUB 23 - 3","PDL0049061 - CLUB 61 - 1","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U15",""
"DM3-P2","DM3BA","PDL0049023 - CLUB 23 - 4","PDL0049010 - CLUB 10 - 2","ID 1052","NOM 762","Prénom 138","LIC 1052",1,"Arbitre","","","NON","Seniors","P"
"DMU17","D1B","PDL0049024 - CLUB 24 - 1","PDL0049061 - CLUB 61 - 1","ID 113","NOM 106","Prénom 62","LIC 113",1,"Chronometreur","","","NON","U17","P"
"DFU18","D1B","PDL0049024 - CLUB 24 - 1","PDL0049067 - CLUB 67 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U18",""
"DMU13-3","D3F","PDL0049024 - CLUB 24 - 2","PDL0049023 - CLUB 23 - 4","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U13",""
"PRM-P2","PRMPB","PDL0049024 - CLUB 24 - 2","PDL0049032 - CLUB 32 - 2","ID 91","NOM 88","Prénom 58","LIC 91",1,"Arbitre","(53,00Km)","70.28","NON","Seniors","P"
